Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2024-12-23,254.1206817626953,225.05999755859375,193.8707275390625,432.0627746582031,430.6000061035156
2024-12-24,257.0375061035156,229.0500030517578,195.34494018554688,436.1128845214844,462.2799987792969
2024-12-26,257.853759765625,227.0500030517578,194.83694458007812,434.90179443359375,454.1300048828125
2024-12-27,254.43922424316406,223.75,192.0080108642578,427.3773193359375,431.6600036621094
2024-12-30,251.06448364257812,221.3000030517578,190.4939422607422,421.71905517578125,417.4100036621094
2024-12-31,249.29251098632812,219.38999938964844,188.5615234375,418.4134521484375,403.8399963378906
2025-01-02,242.75209045410156,220.22000122070312,188.6909942626953,415.51483154296875,379.2799987792969
2025-01-03,242.2642822265625,224.19000244140625,191.0417938232422,420.2499084472656,410.44000244140625
2025-01-06,243.8969268798828,227.61000061035156,196.10198974609375,424.71697998046875,411.04998779296875
2025-01-07,241.11947631835938,222.11000061035156,194.7273712158203,419.2770690917969,394.3599853515625
2025-01-08,241.60726928710938,222.1300048828125,193.19337463378906,421.4510192871094,394.94000244140625
2025-01-10,235.7836151123047,218.94000244140625,191.2908172607422,415.88214111328125,394.739990234375
2025-01-13,233.34461975097656,218.4600067138672,190.26483154296875,414.1350402832031,403.30999755859375
2025-01-14,232.22967529296875,217.75999450683594,188.9200897216797,412.6261901855469,396.3599853515625
2025-01-15,236.7989959716797,223.35000610351562,194.78712463378906,423.1882019042969,428.2200012207031
2025-01-16,227.23228454589844,220.66000366210938,192.1574249267578,421.47088623046875,413.82000732421875
2025-01-17,228.9445343017578,225.94000244140625,195.23536682128906,425.8883056640625,426.5
2025-01-21,221.63758850097656,230.7100067138672,197.27737426757812,425.3621826171875,424.07000732421875
2025-01-22,222.8222198486328,235.00999450683594,197.5961151123047,442.9326171875,415.1099853515625
2025-01-23,222.6529998779297,235.4199981689453,197.2076416015625,443.4388427734375,412.3800048828125
2025-01-24,221.77696228027344,234.85000610351562,199.428955078125,440.8082580566406,406.5799865722656
2025-01-27,228.82508850097656,235.4199981689453,191.0617218017578,431.3778381347656,397.1499938964844
2025-01-28,237.187255859375,238.14999389648438,194.53811645507812,443.9252624511719,398.0899963378906
2025-01-29,238.2823028564453,237.07000732421875,194.64767456054688,439.0909118652344,389.1000061035156
2025-01-30,236.520263671875,234.63999938964844,200.08636474609375,411.95111083984375,400.2799987792969
2025-01-31,234.93743896484375,237.67999267578125,203.22409057617188,412.0205993652344,404.6000061035156
2025-02-03,226.9833984375,237.4199981689453,200.4449462890625,407.91094970703125,383.67999267578125
2025-02-04,231.75184631347656,242.05999755859375,205.5748748779297,409.35028076171875,392.2099914550781
2025-02-05,231.42333984375,236.1699981689453,190.58360290527344,410.2635803222656,378.1700134277344
2025-02-06,232.16995239257812,238.8300018310547,190.85255432128906,412.7750244140625,374.32000732421875
2025-02-07,226.60513305664062,229.14999389648438,184.61695861816406,406.7494812011719,361.6199951171875
2025-02-10,226.8741912841797,233.13999938964844,185.74256896972656,409.2013854980469,350.7300109863281
2025-02-11,231.82725524902344,232.75999450683594,184.59706115722656,408.4271240234375,328.5
2025-02-12,236.06277465820312,228.92999267578125,182.8937225341797,406.0447082519531,336.510009765625
2025-02-13,240.70689392089844,230.3699951171875,185.41384887695312,407.5337219238281,355.94000244140625
2025-02-14,243.7664337158203,228.67999267578125,184.50738525390625,405.43914794921875,355.8399963378906
2025-02-18,243.6368865966797,226.64999389648438,183.05307006835938,406.64031982421875,354.1099853515625
2025-02-19,244.03550720214844,226.6300048828125,184.5472412109375,411.7327575683594,360.55999755859375
2025-02-20,244.99224853515625,222.8800048828125,183.83999633789062,413.9110412597656,354.3999938964844
2025-02-21,244.7132110595703,216.5800018310547,178.9591064453125,406.0332946777344,337.79998779296875
2025-02-24,246.25791931152344,212.7100067138672,178.5507049560547,401.8457336425781,330.5299987792969
2025-02-25,246.19810485839844,212.8000030517578,174.7356414794922,395.77825927734375,302.79998779296875
2025-02-26,239.5408935546875,214.35000610351562,172.05613708496094,397.5985412597656,290.79998779296875
2025-02-27,236.49131774902344,208.74000549316406,167.8426513671875,390.4368896484375,281.95001220703125
2025-02-28,241.01583862304688,212.27999877929688,169.61569213867188,394.87310791015625,292.9800109863281
2025-03-03,237.21881103515625,205.02000427246094,166.3584747314453,386.4184265136719,284.6499938964844
2025-03-04,235.1259765625,203.8000030517578,170.2532196044922,386.53778076171875,272.0400085449219
2025-03-05,234.93663024902344,208.36000061035156,172.3450164794922,398.881591796875,279.1000061035156
2025-03-06,234.52801513671875,200.6999969482422,171.67764282226562,394.773681640625,263.45001220703125
2025-03-07,238.25527954101562,199.25,173.18174743652344,391.2127380371094,262.6700134277344
2025-03-10,226.70477294921875,194.5399932861328,165.41319274902344,378.13287353515625,222.14999389648438
2025-03-11,220.08740234375,196.58999633789062,163.58822631835938,378.42132568359375,230.5800018310547
2025-03-12,216.24057006835938,198.88999938964844,166.6497802734375,381.2262878417969,248.08999633789062
2025-03-13,208.96543884277344,193.88999938964844,162.311767578125,376.7502746582031,240.67999267578125
2025-03-14,212.76246643066406,197.9499969482422,165.03424072265625,386.4880676269531,249.97999572753906
2025-03-17,213.27072143554688,195.74000549316406,163.83753967285156,386.6273498535156,238.00999450683594
2025-03-18,211.96519470214844,192.82000732421875,160.22750854492188,381.4749450683594,225.30999755859375
2025-03-19,214.50650024414062,195.5399932861328,163.43865966796875,385.75201416015625,235.86000061035156
2025-03-20,213.37037658691406,194.9499969482422,162.35165405273438,384.7772521972656,236.25999450683594
2025-03-21,217.5261688232422,196.2100067138672,163.5383758544922,389.17364501953125,248.7100067138672
2025-03-24,219.977783203125,203.25999450683594,167.2182159423828,390.98394775390625,278.3900146484375
2025-03-25,222.98748779296875,205.7100067138672,170.0902862548828,393.0528869628906,288.1400146484375
2025-03-26,220.77503967285156,201.1300048828125,164.6054229736328,387.89056396484375,272.05999755859375
2025-03-27,223.08714294433594,201.36000061035156,161.79319763183594,388.4972839355469,273.1300048828125
2025-03-28,217.15740966796875,192.72000122070312,153.9049835205078,376.78009033203125,263.54998779296875
2025-03-31,221.37301635742188,190.25999450683594,154.21412658691406,373.3883056640625,259.1600036621094
2025-04-01,222.4293975830078,192.1699981689453,156.63743591308594,380.15203857421875,268.4599914550781
2025-04-02,223.12701416015625,196.00999450683594,156.60751342773438,380.1023254394531,282.760009765625
2025-04-03,202.49757385253906,178.41000366210938,150.304931640625,371.12042236328125,267.2799987792969
2025-04-04,187.738037109375,171.0,145.19903564453125,357.92120361328125,239.42999267578125
2025-04-07,180.84161376953125,175.25999450683594,146.34584045410156,355.9517822265625,233.2899932861328
2025-04-08,171.83242797851562,170.66000366210938,144.30149841308594,352.6693420410156,221.86000061035156
2025-04-09,198.17234802246094,191.10000610351562,158.27291870117188,388.40777587890625,272.20001220703125
2025-04-10,189.7710723876953,181.22000122070312,152.39913940429688,379.3164978027344,252.39999389648438
2025-04-11,197.47471618652344,184.8699951171875,156.70724487304688,386.378662109375,252.30999755859375
2025-04-14,201.829833984375,182.1199951171875,158.63194274902344,385.7420654296875,252.35000610351562
2025-04-15,201.45114135742188,179.58999633789062,155.87953186035156,383.67315673828125,254.11000061035156
2025-04-16,193.6079559326172,174.3300018310547,152.90773010253906,369.62841796875,241.5500030517578
2025-04-17,196.3087158203125,172.61000061035156,150.74371337890625,365.81884765625,241.3699951171875
2025-04-21,192.50172424316406,167.32000732421875,147.26332092285156,357.205078125,227.5
2025-04-22,199.059326171875,173.17999267578125,151.0528564453125,364.864013671875,237.97000122070312
2025-04-23,203.9027557373047,180.60000610351562,154.92218017578125,372.3936462402344,250.74000549316406
2025-04-24,207.65989685058594,186.5399932861328,158.84133911132812,385.2347412109375,259.510009765625
2025-04-25,208.56680297851562,188.99000549316406,161.51397705078125,389.7605285644531,284.95001220703125
2025-04-28,209.4238739013672,187.6999969482422,160.16769409179688,389.0741882324219,285.8800048828125
2025-04-29,210.49021911621094,187.38999938964844,159.71893310546875,391.9388427734375,292.0299987792969
2025-04-30,211.77584838867188,184.4199981689453,158.3626708984375,393.15234375,282.1600036621094
2025-05-01,212.59304809570312,190.1999969482422,160.85577392578125,423.1316223144531,280.5199890136719
2025-05-02,204.65020751953125,189.97999572753906,163.57827758789062,432.95892333984375,287.2099914550781
2025-05-05,198.21221923828125,186.35000610351562,163.75778198242188,433.8442077636719,280.260009765625
2025-05-06,197.83349609375,185.00999450683594,162.78045654296875,430.99945068359375,275.3500061035156
2025-05-07,195.58120727539062,188.7100067138672,150.96311950683594,431.03924560546875,276.2200012207031
2025-05-08,196.81698608398438,192.0800018310547,153.85513305664062,435.8335876464844,284.82000732421875
2025-05-09,197.8534393310547,193.05999755859375,152.32933044433594,436.3905334472656,298.260009765625
2025-05-12,210.3471221923828,208.63999938964844,158.0236053466797,446.8644104003906,318.3800048828125
2025-05-13,212.48263549804688,211.3699951171875,159.0906524658203,446.74505615234375,334.07000732421875
2025-05-14,211.8839111328125,210.25,164.91456604003906,450.5247802734375,347.67999267578125
2025-05-15,211.00575256347656,205.1699981689453,163.5084686279297,451.54119873046875,342.82000732421875
2025-05-16,210.81614685058594,205.58999633789062,165.73231506347656,452.6772155761719,349.9800109863281
2025-05-19,208.3413543701172,206.16000366210938,166.0813446044922,457.26104736328125,342.0899963378906
2025-05-20,206.42539978027344,204.07000732421875,163.52841186523438,456.56353759765625,343.82000732421875
2025-05-21,201.66542053222656,201.1199951171875,168.09579467773438,450.983154296875,334.6199951171875
2025-05-22,200.93695068359375,203.10000610351562,170.39942932128906,453.26513671875,341.0400085449219
2025-05-23,194.8597412109375,200.99000549316406,168.00604248046875,448.6015625,339.3399963378906
2025-05-27,199.78936767578125,206.02000427246094,172.42384338378906,459.0746765136719,362.8900146484375
2025-05-28,199.99893188476562,204.72000122070312,171.8853302001953,455.7563781738281,356.8999938964844
2025-05-29,199.5299072265625,205.6999969482422,171.38670349121094,457.0717468261719,358.42999267578125
2025-05-30,200.4280242919922,205.00999450683594,171.2670440673828,458.7458190917969,346.4599914550781
2025-06-02,201.27622985839844,206.64999389648438,168.5644989013672,460.3502197265625,342.69000244140625
2025-06-03,202.8429412841797,205.7100067138672,165.72235107421875,461.3467102050781,344.2699890136719
2025-06-04,202.3938751220703,207.22999572753906,167.58718872070312,462.2435302734375,332.04998779296875
2025-06-05,200.20848083496094,207.91000366210938,167.74676513671875,466.0401611328125,284.70001220703125
2025-06-06,203.49156188964844,213.57000732421875,173.20167541503906,468.730712890625,295.1400146484375
2025-06-09,201.02674865722656,216.97999572753906,175.81764221191406,471.0924072265625,308.5799865722656
2025-06-10,202.24420166015625,217.61000061035156,178.3237762451172,469.2688293457031,326.0899963378906
2025-06-11,198.36236572265625,213.1999969482422,177.07569885253906,470.9628601074219,326.42999267578125
2025-06-12,198.78147888183594,213.24000549316406,175.42825317382812,477.1909484863281,319.1099853515625
2025-06-13,196.03726196289062,212.10000610351562,174.39984130859375,473.2946472167969,325.30999755859375
2025-06-16,198.0031280517578,216.10000610351562,176.49659729003906,477.46002197265625,329.1300048828125
2025-06-17,195.2289581298828,214.82000732421875,175.6778564453125,476.3638610839844,316.3500061035156
2025-06-18,196.1669921875,212.52000427246094,173.05194091796875,478.5561218261719,322.04998779296875
2025-06-20,200.5777130126953,209.69000244140625,166.38226318359375,475.7261047363281,322.1600036621094
2025-06-23,201.07664489746094,208.47000122070312,164.93450927734375,484.2959289550781,348.67999267578125
2025-06-24,199.87918090820312,212.77000427246094,166.51206970214844,488.3915100097656,340.4700012207031
2025-06-25,201.1365203857422,211.99000549316406,170.416015625,490.5439453125,327.54998779296875
2025-06-26,200.5777130126953,217.1199951171875,173.27157592773438,495.705810546875,325.7799987792969
2025-06-27,200.6575469970703,223.3000030517578,178.25387573242188,494.20111083984375,323.6300048828125
2025-06-30,204.7389373779297,219.38999938964844,175.95742797851562,495.66595458984375,317.6600036621094
2025-07-01,207.3833770751953,220.4600067138672,175.56802368164062,490.3247375488281,300.7099914550781
2025-07-02,211.99366760253906,219.9199981689453,178.3636932373047,489.36810302734375,315.6499938964844
2025-07-03,213.10133361816406,223.41000366210938,179.2523193359375,497.0909423828125,315.3500061035156
2025-07-07,209.50889587402344,223.47000122070312,176.5165557861328,495.974853515625,293.94000244140625
2025-07-08,209.5687713623047,219.36000061035156,174.09031677246094,494.8786926269531,297.80999755859375
2025-07-09,210.69639587402344,222.5399932861328,176.34681701660156,501.74456787109375,295.8800048828125
2025-07-10,211.9637451171875,222.25999450683594,177.34527587890625,499.7216796875,309.8699951171875
