Datetime,AAPL,AMZN,GOOGL,MSFT,TSLA
2025-12-18 14:30:00+00:00,270.8999938964844,227.58270263671875,301.4949951171875,484.739990234375,483.42010498046875
2025-12-18 15:30:00+00:00,272.29998779296875,228.32000732421875,302.07000732421875,487.6499938964844,488.17999267578125
2025-12-18 16:30:00+00:00,270.25,225.80349731445312,302.3275146484375,484.927490234375,487.83990478515625
2025-12-18 17:30:00+00:00,272.6499938964844,227.0449981689453,303.7900085449219,486.4801025390625,488.62200927734375
2025-12-18 18:30:00+00:00,271.3699951171875,226.58999633789062,302.05999755859375,485.54998779296875,486.65020751953125
2025-12-18 19:30:00+00:00,271.8399963378906,226.76499938964844,302.55999755859375,484.5985107421875,486.56500244140625
2025-12-18 20:30:00+00:00,272.1600036621094,226.75999450683594,302.3999938964844,483.8800048828125,483.3949890136719
2025-12-19 14:30:00+00:00,271.7349853515625,226.86000061035156,304.80999755859375,485.5303039550781,480.5450134277344
2025-12-19 15:30:00+00:00,271.26080322265625,227.85679626464844,305.5199890136719,485.1684875488281,481.4549865722656
2025-12-19 16:30:00+00:00,270.6549987792969,228.41000366210938,305.0,485.875,479.3407897949219
2025-12-19 17:30:00+00:00,270.75,228.66900634765625,304.2799987792969,485.25,481.2449951171875
2025-12-19 18:30:00+00:00,271.3699951171875,228.75990295410156,304.43499755859375,484.2455139160156,483.8299865722656
2025-12-19 19:30:00+00:00,270.79998779296875,228.64999389648438,304.3550109863281,482.92999267578125,482.20001220703125
2025-12-19 20:30:00+00:00,273.6700134277344,227.3699951171875,307.1700134277344,486.05999755859375,480.9100036621094
2025-12-22 14:30:00+00:00,272.0150146484375,227.82000732421875,307.30999755859375,484.6050109863281,487.9649963378906
2025-12-22 15:30:00+00:00,272.44000244140625,227.52999877929688,308.6000061035156,485.6495056152344,492.8599853515625
2025-12-22 16:30:00+00:00,271.94000244140625,228.01499938964844,309.4750061035156,485.8500061035156,494.94000244140625
2025-12-22 17:30:00+00:00,270.9399108886719,228.0,308.89520263671875,485.75,494.6400146484375
2025-12-22 18:30:00+00:00,270.864990234375,228.39500427246094,308.8599853515625,485.8800048828125,493.080810546875
2025-12-22 19:30:00+00:00,270.7200012207031,228.83999633789062,309.79998779296875,484.9700012207031,487.5299987792969
2025-12-22 20:30:00+00:00,270.82000732421875,228.44000244140625,309.7699890136719,484.8500061035156,488.7699890136719
